Index,Course ID,Course Name,Course Link
603,13842,GS F212 ENVIRON DEV & CLIMATE CH L1,https://cms.bits-hyderabad.ac.in/course/view.php?id=13842
604,13843,GS F221 BUSINESS COMMUNICATION L1,https://cms.bits-hyderabad.ac.in/course/view.php?id=13843
605,13844,GS F223 INTRO TO MASS COMM L1,https://cms.bits-hyderabad.ac.in/course/view.php?id=13844
606,13845,GS F242 CULTURAL STUDIES L1,https://cms.bits-hyderabad.ac.in/course/view.php?id=13845
607,13846,GS F245 EFFECTIVE PUBLIC SPEAK L1,https://cms.bits-hyderabad.ac.in/course/view.php?id=13846
608,13847,GS F322 CRITI ANAL OF LIT & CINE L1,https://cms.bits-hyderabad.ac.in/course/view.php?id=13847
609,13848,HSS F222 LINGUISTICS L1,https://cms.bits-hyderabad.ac.in/course/view.php?id=13848
610,13849,HSS F244 CRIME AND NEW MEDIA L1,https://cms.bits-hyderabad.ac.in/course/view.php?id=13849
611,13850,HSS F246 PHILOSOPHY OF NAGARJUNA L1,https://cms.bits-hyderabad.ac.in/course/view.php?id=13850
612,13851,HSS F248 INTRODUCTION TO DISABILITY STU L1,https://cms.bits-hyderabad.ac.in/course/view.php?id=13851
613,13852,HSS F266 STUDY PROJECT P1,https://cms.bits-hyderabad.ac.in/course/view.php?id=13852
614,13853,HSS F318 INTRO TO ANTHROPOLOGY L1,https://cms.bits-hyderabad.ac.in/course/view.php?id=13853
615,13854,HSS F328 HUMAN RESOURCE DEVELOP L1,https://cms.bits-hyderabad.ac.in/course/view.php?id=13854
616,13855,HSS F331 SANKARAâ€™S THOUGHTS L1,https://cms.bits-hyderabad.ac.in/course/view.php?id=13855
617,13856,HSS F332 CINEMATIC ART L1,https://cms.bits-hyderabad.ac.in/course/view.php?id=13856
619,13858,HSS F335 LITERARY CRITICISM L1,https://cms.bits-hyderabad.ac.in/course/view.php?id=13858
620,13859,HSS F343 PROFESSIONAL ETHICS L1,https://cms.bits-hyderabad.ac.in/course/view.php?id=13859
621,13860,HSS F346 INTERNATIONAL RELATIONS L1,https://cms.bits-hyderabad.ac.in/course/view.php?id=13860
622,13861,HSS F362 LOCAL GOVERNANCE AND PARTICIPA L1,https://cms.bits-hyderabad.ac.in/course/view.php?id=13861
623,13862,HSS F363 DISASTER AND DEVELOPMENT L1,https://cms.bits-hyderabad.ac.in/course/view.php?id=13862
